id,sample_site,numeric_result,formatted_result,result_units,latitude_degrees,longitude_degrees,sample_date,parameter,site_key,field_data_description
117470476,Bearspaw Reservoir East,8.4,8.4,pH units,51.102391,-114.28714,2025-09-22 10:35:00,pH,SUR_BP-E,
117470306,Bearspaw Reservoir Centre,8.4,8.4,pH units,51.117405,-114.292106,2025-09-22 11:06:00,pH,SUR_BP-C,
117470751,Bearspaw Reservoir West,8.3,8.3,pH units,51.14422000,-114.32239000,2025-09-22 11:42:00,pH,SUR_BP-W,
119203029,Bow River Below Bearspaw Dam,8.3,8.3,pH units,51.10040300,-114.27077400,2025-10-14 11:37:00,pH,SUR_BR-BD,
119207574,Bearspaw Reservoir East,8.3,8.3,pH units,51.102391,-114.28714,2025-10-27 10:02:00,pH,SUR_BP-E,
119207395,Bearspaw Reservoir Centre,8.3,8.3,pH units,51.117405,-114.292106,2025-10-27 10:37:00,pH,SUR_BP-C,
119207761,Bearspaw Reservoir West,8.2,8.2,pH units,51.14422000,-114.32239000,2025-10-27 11:05:00,pH,SUR_BP-W,
120482695,Bow River Below Bearspaw Dam,8.3,8.3,pH units,51.10040300,-114.27077400,2025-11-10 11:22:00,pH,SUR_BR-BD,
120488195,Bearspaw Reservoir Centre,8.2,8.2,pH units,51.117405,-114.292106,2025-11-17 09:23:00,pH,SUR_BP-C,
120488374,Bearspaw Reservoir East,8.2,8.2,pH units,51.102391,-114.28714,2025-11-17 09:45:00,pH,SUR_BP-E,
120488561,Bearspaw Reservoir West,8.2,8.2,pH units,51.14422000,-114.32239000,2025-11-17 10:46:00,pH,SUR_BP-W,
122230763,Bow River Below Bearspaw Dam,8.2,8.2,pH units,51.10040300,-114.27077400,2025-12-08 11:41:00,pH,SUR_BR-BD,
123358058,Bow River Below Bearspaw Dam,8.1,8.1,pH units,51.10040300,-114.27077400,2026-01-12 11:22:00,pH,SUR_BR-BD,
124017506,Bow River Below Bearspaw Dam,8.2,8.2,pH units,51.10040300,-114.27077400,2026-02-09 10:40:00,pH,SUR_BR-BD,
124779263,Bow River Below Bearspaw Dam,8.2,8.2,pH units,51.10040300,-114.27077400,2026-03-09 10:56:00,pH,SUR_BR-BD,
125262444,Bow River Below Bearspaw Dam,8.3,8.3,pH units,51.10040300,-114.27077400,2026-04-13 12:32:00,pH,SUR_BR-BD,
125266634,Bearspaw Reservoir East,8.2,8.2,pH units,51.102391,-114.28714,2026-04-27 10:28:00,pH,SUR_BP-E,
125266464,Bearspaw Reservoir Centre,8.3,8.3,pH units,51.117405,-114.292106,2026-04-27 11:02:00,pH,SUR_BP-C,
125266909,Bearspaw Reservoir West,8.3,8.3,pH units,51.14422000,-114.32239000,2026-04-27 11:28:00,pH,SUR_BP-W,
126108922,Bow River Below Bearspaw Dam,8.3,8.3,pH units,51.10040300,-114.27077400,2026-05-11 12:15:00,pH,SUR_BR-BD,
126114773,Bearspaw Reservoir East,8.2,8.2,pH units,51.102391,-114.28714,2026-05-25 11:27:00,pH,SUR_BP-E,
126114603,Bearspaw Reservoir Centre,8.2,8.2,pH units,51.117405,-114.292106,2026-05-25 12:12:00,pH,SUR_BP-C,
126115064,Bearspaw Reservoir West,8.2,8.2,pH units,51.14422000,-114.32239000,2026-05-25 12:45:00,pH,SUR_BP-W,
127682358,Bow River Below Bearspaw Dam,8.2,8.2,pH units,51.10040300,-114.27077400,2026-06-08 12:01:00,pH,SUR_BR-BD,
127688212,Bearspaw Reservoir East,8.2,8.2,pH units,51.102391,-114.28714,2026-06-22 11:02:00,pH,SUR_BP-E,
